ZI0.6-11	Placa Recta 2 Perforaciones
ZI1.0-12.1	Placa Recta 4 Perforaciones Pte. Pequeño
ZI1.0-12	Placa Recta 4 Perforaciones Pte. Mediano
ZI1.0-12.01	Placa Recta 4 Perforaciones Pte. Largo
ZI1.0-12.02	Placa Recta 4 Perforaciones Pte. X Largo
ZI1.0-13	Placa Recta 6 Perforaciones C/Pte.
ZI1.0-07	Placa Recta 16 Perforaciones
YL1.0-04.1	Placa L 4 Perforaciones Mediana Der.
YL1.0-03.1	Placa L 4 Perforaciones Mediana Izq.
YL1.0-04	Placa L 4 Perforaciones Larga Der.
YL1.0-03	Placa L 4 Perforaciones Larga Izq.
YL0.8-12	Placa L 4 Perf. 100º Pequeña Der.
YL0.8-11	Placa L 4 Perf. 100º Pequeña Izq.
YL0.8-12.2	Placa L 4 Perf. 100º Mediana Der.
YL0.8-11.2	Placa L 4 Perf. 100º Mediana Izq.
YL0.8-12.3	Placa L 4 Perf. 100º Larga Der.
YL0.8-11.3	Placa L 4 Perf. 100º Larga Izq.
YX0.8-02	Placa Doble Y 4 Perforaciones
YX0.8-03	Placa Doble Y 5 Perforaciones
YL0.8-305	Placa Cigomática 5
YL0.8-308	Placa Cigomática 8
YL0.8-313	Placa En Y Segmental 13 mm
PA.01.031251	Placa Adelanto Maxilar 2 mm
PA.01.031254	Placa Adelanto Maxilar 4 mm
PA.01.031256	Placa Adelanto Maxilar 6 mm
PA.01.031258	Placa Adelanto Maxilar 8 mm
YX0.8-02.1	Placa Avance de Mentón 2 mm
YX0.8-02.2	Placa Avance de Mentón 4 mm
YX0.8-02.3	Placa Avance de Mentón 6 mm
YX0.8-02.4	Placa Avance de Mentón 8 mm
YX0.8-02.5	Placa Avance de Mentón 10 mm
YY06.6-0.1	Placa de Tracción En Y
YT0.6-01.2	Placa de Tracción En T
MA02-2.0x5	Tornillo Autoperforante 2.0 x 5 mm
MA02-2.0x6	Tornillo Autoperforante 2.0 x 6 mm
MA02-2.0x7	Tornillo Autoperforante 2.0 x 7 mm
MA02-2.0x8	Tornillo Autorroscante 2.0 x 8 mm
MA02.2.0x10	Tornillo Autorroscante 2.0 x 10 mm
MA02.2.0x12	Tornillo Autorroscante 2.0 x 12 mm
MA02.2.0x14	Tornillo Autorroscante 2.0 x 14 mm
MA02-2.3x6	Tornillo Autorroscante 2.0 x 16 mm
MA02-2.3x8	Tornillo Autorroscante 2.3 x 6 mm
MB1.6-11-105	Tornillo Dual Head 1.5 x 11 mm
XXC-6	Fresón Oval de Carburo
1608-002-035	Fresón Oval de Carburo ST
AL-0.40GX	Alambre 0.40 GX
60-13147	Broca Pequeña 1.3 x 47 mm
01-08196	Broca Mediana
